white,black
7.300000000000000000e+01,5.552000000000000000e+03
9.100000000000000000e+01,5.534000000000000000e+03
3.900000000000000000e+01,5.586000000000000000e+03
5.400000000000000000e+01,5.571000000000000000e+03
2.630000000000000000e+02,5.362000000000000000e+03
1.450000000000000000e+02,5.480000000000000000e+03
8.900000000000000000e+01,5.536000000000000000e+03
6.400000000000000000e+01,5.561000000000000000e+03
9.800000000000000000e+01,5.527000000000000000e+03
3.200000000000000000e+01,5.593000000000000000e+03
1.060000000000000000e+02,5.519000000000000000e+03
4.700000000000000000e+01,5.578000000000000000e+03
2.020000000000000000e+02,5.423000000000000000e+03
5.400000000000000000e+01,5.571000000000000000e+03
4.200000000000000000e+01,5.583000000000000000e+03
9.400000000000000000e+01,5.531000000000000000e+03
9.100000000000000000e+01,5.534000000000000000e+03
2.070000000000000000e+02,5.418000000000000000e+03
6.000000000000000000e+01,5.565000000000000000e+03
4.632000000000000000e+03,9.930000000000000000e+02
8.000000000000000000e+01,5.545000000000000000e+03
8.300000000000000000e+01,5.542000000000000000e+03
1.350000000000000000e+02,5.490000000000000000e+03
1.310000000000000000e+02,5.494000000000000000e+03
1.810000000000000000e+02,5.444000000000000000e+03
3.874000000000000000e+03,1.751000000000000000e+03
1.020000000000000000e+02,5.523000000000000000e+03
7.900000000000000000e+01,5.546000000000000000e+03
8.300000000000000000e+01,5.542000000000000000e+03
4.800000000000000000e+01,5.577000000000000000e+03
1.130000000000000000e+02,5.512000000000000000e+03
1.450000000000000000e+02,5.480000000000000000e+03
1.440000000000000000e+02,5.481000000000000000e+03
2.390000000000000000e+02,5.386000000000000000e+03
2.590000000000000000e+02,5.366000000000000000e+03
2.070000000000000000e+02,5.418000000000000000e+03
1.350000000000000000e+02,5.490000000000000000e+03
1.440000000000000000e+02,5.481000000000000000e+03
6.100000000000000000e+01,5.564000000000000000e+03
9.300000000000000000e+01,5.532000000000000000e+03
1.950000000000000000e+02,5.430000000000000000e+03
1.110000000000000000e+02,5.514000000000000000e+03
1.200000000000000000e+02,5.505000000000000000e+03
6.700000000000000000e+01,5.558000000000000000e+03
1.470000000000000000e+02,5.478000000000000000e+03
8.300000000000000000e+01,5.542000000000000000e+03
1.650000000000000000e+02,5.460000000000000000e+03
1.970000000000000000e+02,5.428000000000000000e+03
1.250000000000000000e+02,5.500000000000000000e+03
6.500000000000000000e+01,5.560000000000000000e+03
1.200000000000000000e+02,5.505000000000000000e+03
1.050000000000000000e+02,5.520000000000000000e+03
6.300000000000000000e+01,5.562000000000000000e+03
1.370000000000000000e+02,5.488000000000000000e+03
5.600000000000000000e+01,5.569000000000000000e+03
6.600000000000000000e+01,5.559000000000000000e+03
1.660000000000000000e+02,5.459000000000000000e+03
2.400000000000000000e+01,5.601000000000000000e+03
6.000000000000000000e+01,5.565000000000000000e+03
1.470000000000000000e+02,5.478000000000000000e+03
1.250000000000000000e+02,5.500000000000000000e+03
5.000000000000000000e+01,5.575000000000000000e+03
1.230000000000000000e+02,5.502000000000000000e+03
1.690000000000000000e+02,5.456000000000000000e+03
1.220000000000000000e+02,5.503000000000000000e+03
3.200000000000000000e+01,5.593000000000000000e+03
1.110000000000000000e+02,5.514000000000000000e+03
1.900000000000000000e+02,5.435000000000000000e+03
1.600000000000000000e+02,5.465000000000000000e+03
1.650000000000000000e+02,5.460000000000000000e+03
1.690000000000000000e+02,5.456000000000000000e+03
1.340000000000000000e+02,5.491000000000000000e+03
7.700000000000000000e+01,5.548000000000000000e+03
1.930000000000000000e+02,5.432000000000000000e+03
1.290000000000000000e+02,5.496000000000000000e+03
1.200000000000000000e+02,5.505000000000000000e+03
1.340000000000000000e+02,5.491000000000000000e+03
9.200000000000000000e+01,5.533000000000000000e+03
1.350000000000000000e+02,5.490000000000000000e+03
7.500000000000000000e+01,5.550000000000000000e+03
1.130000000000000000e+02,5.512000000000000000e+03
5.500000000000000000e+01,5.570000000000000000e+03
1.300000000000000000e+02,5.495000000000000000e+03
1.110000000000000000e+02,5.514000000000000000e+03
8.600000000000000000e+01,5.539000000000000000e+03
2.550000000000000000e+02,5.370000000000000000e+03
8.000000000000000000e+01,5.545000000000000000e+03
1.210000000000000000e+02,5.504000000000000000e+03
8.200000000000000000e+01,5.543000000000000000e+03
1.840000000000000000e+02,5.441000000000000000e+03
3.620000000000000000e+02,5.263000000000000000e+03
1.130000000000000000e+02,5.512000000000000000e+03
1.119000000000000000e+03,4.506000000000000000e+03
1.220000000000000000e+02,5.503000000000000000e+03
1.020000000000000000e+02,5.523000000000000000e+03
7.700000000000000000e+01,5.548000000000000000e+03
1.210000000000000000e+02,5.504000000000000000e+03
1.140000000000000000e+02,5.511000000000000000e+03
6.300000000000000000e+01,5.562000000000000000e+03
1.180000000000000000e+02,5.507000000000000000e+03
1.630000000000000000e+02,5.462000000000000000e+03
3.020000000000000000e+02,5.323000000000000000e+03
1.370000000000000000e+02,5.488000000000000000e+03
8.200000000000000000e+01,5.543000000000000000e+03
8.900000000000000000e+01,5.536000000000000000e+03
1.400000000000000000e+02,5.485000000000000000e+03
1.640000000000000000e+02,5.461000000000000000e+03
1.820000000000000000e+02,5.443000000000000000e+03
2.220000000000000000e+02,5.403000000000000000e+03
8.700000000000000000e+01,5.538000000000000000e+03
1.130000000000000000e+02,5.512000000000000000e+03
1.350000000000000000e+02,5.490000000000000000e+03
1.110000000000000000e+02,5.514000000000000000e+03
1.460000000000000000e+02,5.479000000000000000e+03
1.700000000000000000e+01,5.608000000000000000e+03
8.900000000000000000e+01,5.536000000000000000e+03
8.000000000000000000e+01,5.545000000000000000e+03
5.400000000000000000e+01,5.571000000000000000e+03
3.600000000000000000e+01,5.589000000000000000e+03
1.500000000000000000e+02,5.475000000000000000e+03
5.400000000000000000e+01,5.571000000000000000e+03
3.180000000000000000e+02,5.307000000000000000e+03
3.300000000000000000e+01,5.592000000000000000e+03
1.310000000000000000e+02,5.494000000000000000e+03
6.500000000000000000e+01,5.560000000000000000e+03
5.700000000000000000e+01,5.568000000000000000e+03
8.200000000000000000e+01,5.543000000000000000e+03
6.100000000000000000e+01,5.564000000000000000e+03
8.500000000000000000e+01,5.540000000000000000e+03
5.500000000000000000e+01,5.570000000000000000e+03
8.900000000000000000e+01,5.536000000000000000e+03
1.260000000000000000e+02,5.499000000000000000e+03
1.720000000000000000e+02,5.453000000000000000e+03
1.090000000000000000e+02,5.516000000000000000e+03
6.300000000000000000e+01,5.562000000000000000e+03
1.510000000000000000e+02,5.474000000000000000e+03
1.801000000000000000e+03,3.824000000000000000e+03
8.200000000000000000e+01,5.543000000000000000e+03
1.420000000000000000e+02,5.483000000000000000e+03
1.760000000000000000e+02,5.449000000000000000e+03
3.270000000000000000e+02,5.298000000000000000e+03
2.030000000000000000e+02,5.422000000000000000e+03
7.730000000000000000e+02,4.852000000000000000e+03
1.390000000000000000e+02,5.486000000000000000e+03
2.530000000000000000e+02,5.372000000000000000e+03
1.160000000000000000e+02,5.509000000000000000e+03
1.120000000000000000e+02,5.513000000000000000e+03
5.500000000000000000e+01,5.570000000000000000e+03
1.150000000000000000e+02,5.510000000000000000e+03
1.100000000000000000e+02,5.515000000000000000e+03
2.380000000000000000e+02,5.387000000000000000e+03
2.080000000000000000e+02,5.417000000000000000e+03
1.070000000000000000e+02,5.518000000000000000e+03
1.630000000000000000e+02,5.462000000000000000e+03
1.810000000000000000e+02,5.444000000000000000e+03
1.020000000000000000e+02,5.523000000000000000e+03
9.700000000000000000e+01,5.528000000000000000e+03
6.000000000000000000e+01,5.565000000000000000e+03
9.400000000000000000e+01,5.531000000000000000e+03
1.090000000000000000e+02,5.516000000000000000e+03
1.750000000000000000e+02,5.450000000000000000e+03
9.500000000000000000e+01,5.530000000000000000e+03
4.500000000000000000e+01,5.580000000000000000e+03
1.480000000000000000e+02,5.477000000000000000e+03
6.800000000000000000e+01,5.557000000000000000e+03
1.080000000000000000e+02,5.517000000000000000e+03
6.600000000000000000e+01,5.559000000000000000e+03
4.888000000000000000e+03,7.370000000000000000e+02
1.140000000000000000e+02,5.511000000000000000e+03
1.340000000000000000e+02,5.491000000000000000e+03
8.600000000000000000e+01,5.539000000000000000e+03
1.480000000000000000e+02,5.477000000000000000e+03
6.150000000000000000e+02,5.010000000000000000e+03
7.800000000000000000e+01,5.547000000000000000e+03
1.090000000000000000e+02,5.516000000000000000e+03
1.760000000000000000e+02,5.449000000000000000e+03
6.600000000000000000e+01,5.559000000000000000e+03
1.580000000000000000e+02,5.467000000000000000e+03
2.440000000000000000e+02,5.381000000000000000e+03
5.200000000000000000e+01,5.573000000000000000e+03
7.900000000000000000e+01,5.546000000000000000e+03
7.800000000000000000e+01,5.547000000000000000e+03
5.500000000000000000e+01,5.570000000000000000e+03
1.980000000000000000e+02,5.427000000000000000e+03
1.010000000000000000e+02,5.524000000000000000e+03
1.330000000000000000e+02,5.492000000000000000e+03
1.280000000000000000e+02,5.497000000000000000e+03
1.210000000000000000e+02,5.504000000000000000e+03
3.800000000000000000e+01,5.587000000000000000e+03
7.900000000000000000e+01,5.546000000000000000e+03
9.800000000000000000e+01,5.527000000000000000e+03
6.900000000000000000e+01,5.556000000000000000e+03
1.260000000000000000e+02,5.499000000000000000e+03
1.360000000000000000e+02,5.489000000000000000e+03
1.230000000000000000e+02,5.502000000000000000e+03
1.390000000000000000e+02,5.486000000000000000e+03
1.060000000000000000e+02,5.519000000000000000e+03
9.200000000000000000e+01,5.533000000000000000e+03
8.900000000000000000e+01,5.536000000000000000e+03
5.200000000000000000e+01,5.573000000000000000e+03
9.900000000000000000e+01,5.526000000000000000e+03
2.520000000000000000e+02,5.373000000000000000e+03
2.270000000000000000e+02,5.398000000000000000e+03
8.600000000000000000e+01,5.539000000000000000e+03
4.500000000000000000e+01,5.580000000000000000e+03
1.020000000000000000e+02,5.523000000000000000e+03
2.170000000000000000e+02,5.408000000000000000e+03
1.680000000000000000e+02,5.457000000000000000e+03
1.000000000000000000e+02,5.525000000000000000e+03
2.700000000000000000e+01,5.598000000000000000e+03
2.830000000000000000e+02,5.342000000000000000e+03
1.100000000000000000e+02,5.515000000000000000e+03
1.640000000000000000e+02,5.461000000000000000e+03
1.560000000000000000e+02,5.469000000000000000e+03
1.610000000000000000e+02,5.464000000000000000e+03
1.160000000000000000e+02,5.509000000000000000e+03
1.110000000000000000e+02,5.514000000000000000e+03
1.190000000000000000e+02,5.506000000000000000e+03
1.360000000000000000e+02,5.489000000000000000e+03
1.430000000000000000e+02,5.482000000000000000e+03
1.500000000000000000e+02,5.475000000000000000e+03
1.050000000000000000e+02,5.520000000000000000e+03
5.200000000000000000e+01,5.573000000000000000e+03
7.500000000000000000e+01,5.550000000000000000e+03
