Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
1.658045674265567371e+00,7.431451570976712162e+00,1.724223441053826633e+01,2.320170460085784647e+00,0.000000000000000000e+00,7.500000000000000000e+01,8.700000000000000000e+01,3.738962564617999140e-01,6.653844769239700141e-02,4.962266989492828545e-02,5.692570483919125179e-02,2.903411028051043098e-03,1.379797852750604473e-02,8.509335017593673512e-04
1.770817361324659833e+00,3.467425141059548910e+00,5.463617640499251138e+00,1.894468516780355571e+01,0.000000000000000000e+00,9.500000000000000000e+01,1.130000000000000000e+02,3.703778409731797727e-01,5.772152954256702662e-02,3.704864188416053666e-02,5.654925707359544085e-02,2.437365764185847345e-03,1.356557201179070180e-02,-8.711554600106291742e-04
1.379342840129759606e+00,4.922140952318390994e+00,7.218935040508423384e+00,1.466625013472686812e+00,0.000000000000000000e+00,3.900000000000000000e+01,2.400000000000000000e+01,2.304826446838280640e-01,2.281607455758129233e-02,4.114315711657474603e-03,4.989299221335336335e-03,2.083083298090035652e-05,7.117328838593264080e-04,8.779005886328088577e-06
1.155346994296721830e+00,2.423072837256007528e+00,7.113769373984570876e+00,2.935846279404671577e+00,0.000000000000000000e+00,5.300000000000000000e+01,3.500000000000000000e+01,9.142534166539650897e-01,5.935369736278964803e-01,5.397988469840717674e-01,9.555381596328831328e-01,6.844271530640935186e-01,7.355733359607687927e-01,5.010824057787655050e-02
4.727749022454115213e+00,1.232480795173604093e+00,3.617591287295830682e+01,2.935211081148137424e+01,0.000000000000000000e+00,2.570000000000000000e+02,5.260000000000000000e+02,3.931013294324524621e-01,1.497807767795430144e-02,7.411684772766230327e-03,5.575368279218044509e-02,1.108279279503050904e-03,6.820183405394536144e-03,2.371232231645326971e-04
1.212321618241368304e+00,2.541938706585355146e+00,7.504575693818892113e+00,1.907617143261788684e+01,0.000000000000000000e+00,1.480000000000000000e+02,8.600000000000000000e+01,1.846550494075198112e-01,6.671847293223389860e-03,2.914549731802737985e-04,5.945418090292555607e-04,2.463111530670863199e-07,4.765722948757230453e-05,2.413689709791835528e-08
1.503030670435258731e+00,7.605578810086877972e+00,2.124744732883243259e+01,2.793666052168582326e+00,0.000000000000000000e+00,8.700000000000000000e+01,1.170000000000000000e+02,2.954598003600158451e-01,5.266460870868865801e-02,3.017460788239940787e-03,7.401621941528915317e-03,3.487895223936243543e-05,1.648617213982542630e-03,2.647717414983394172e-06
1.437368079798679865e+00,6.011455733980407778e+00,1.345753266971276574e+01,2.238647885842791396e+00,0.000000000000000000e+00,6.700000000000000000e+01,6.300000000000000000e+01,4.247169494628906250e-01,8.666166409966535866e-03,3.412840496988922556e-02,5.011290011073399331e-02,-7.974563380874896343e-04,2.411170880959876035e-03,1.912871549992305187e-03
1.793741169846922556e+00,6.837977801593040361e+00,2.263601245035060217e+01,3.310337223539553175e+00,0.000000000000000000e+00,9.600000000000000000e+01,1.020000000000000000e+02,4.742475499154268359e-01,6.201325106890987621e-02,8.090395414767583004e-02,1.221117354710280767e-01,9.843877454852685907e-03,2.942690699010588884e-02,7.100096955895270241e-03
9.947183943243458337e-01,1.771834867989350304e+00,3.524776176530515670e+00,1.989336726695290158e+00,0.000000000000000000e+00,3.200000000000000000e+01,1.600000000000000000e+01,4.015502929687500000e-01,5.580345168709754944e-02,1.662552044217590133e-02,7.583731181875918992e-02,2.565020050060561052e-03,1.790710751385815244e-02,8.198222415732083759e-04
