Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
1.542578679198370217e+00,6.753680197408671759e+00,1.994560659669116731e+01,2.953294502209939054e+00,5.000000000000000000e+00,9.100000000000000000e+01,7.100000000000000000e+01,2.792570308570790916e-01,3.924333146741856154e-02,8.851586080708611498e-03,9.650499570611524927e-03,8.526122260290326909e-05,1.563665656452318392e-03,2.619310891181315313e-05
1.604812342843278117e+00,3.304458571649725673e+00,5.613187362349297160e+00,1.854854509379104854e+01,9.000000000000000000e+00,9.500000000000000000e+01,1.150000000000000000e+02,3.440630877459489589e-01,4.581018930380274801e-02,2.972271894031833575e-02,4.495684919858748685e-02,1.516687875535621937e-03,9.621351319358557169e-03,-6.327373656010500547e-04
6.716623652107402620e+01,1.057339574467757393e+00,3.784762366306319450e+02,4.001779029851906557e+02,9.000000000000000000e+01,6.510000000000000000e+02,7.994000000000000000e+03,1.166861359276240684e+00,1.491854873326845660e-03,1.525389358559086916e-01,4.038662086852894129e-02,9.067545965745337638e-04,6.466377362312668515e-04,3.037451505364886263e-03
1.754164264078063917e+00,6.498661819972137543e+00,2.156263617688863832e+01,3.318011734449829664e+00,6.000000000000000000e+00,6.800000000000000000e+01,1.300000000000000000e+02,6.162327363938280289e-01,1.519685657704397119e-01,1.671970512270018749e-01,1.165611529889753889e-01,1.113720861156414568e-02,2.783916136356291010e-02,1.186362491680875882e-02
7.980094252768629381e+00,5.618912704521011214e+00,3.401301728898997112e+01,1.911161749641985637e+02,1.900000000000000000e+01,1.470000000000000000e+02,3.413000000000000000e+03,1.627667621209356152e+00,1.355804566417121215e+00,5.527242300377946727e+00,9.563772824895279356e+00,6.818063263105484850e+01,1.112358470082624429e+01,-1.365279741980648254e+01
1.089916628803387022e+00,2.713978517358131892e+00,6.641723785685976544e+00,1.802549567257826624e+01,9.000000000000000000e+00,1.380000000000000000e+02,6.600000000000000000e+01,1.819592541787328766e-01,7.098722608653771499e-03,4.294219988188748656e-05,1.282513173278024786e-04,8.240987558313123113e-09,1.071372999773927668e-05,-4.761716165846186897e-09
1.175875914436967840e+01,3.131188873774042314e+00,1.106071667534623373e+02,3.463319298981114116e+02,2.700000000000000000e+01,2.770000000000000000e+02,2.423000000000000000e+03,2.115908435379351804e+00,2.582943644129438443e-01,1.995796299383212791e+00,3.691786293810485731e+00,-4.262341673238421613e+00,-1.591596844681859801e+00,-9.069385377113640345e+00
1.989436788648691845e+01,1.866432215555497098e+00,3.031983297182988508e+02,1.624480799202554522e+02,2.700000000000000000e+01,2.450000000000000000e+02,7.147000000000000000e+03,2.117248703999999648e+00,6.445517214253265736e-01,1.704159590236559829e+00,3.633144102527837482e+00,8.821692455525489862e+00,2.902330316470689286e+00,1.975688569987589682e+00
1.276776321248315860e+00,4.883920362240230517e+00,1.704338929519104795e+01,3.489694350252125599e+00,1.000000000000000000e+01,8.800000000000000000e+01,6.500000000000000000e+01,4.437832647462276459e-01,5.625381831661455806e-02,4.810382349931725116e-02,9.676360791523871963e-02,5.340507029494353554e-03,2.249379179283173338e-02,3.880959637434025934e-03
7.425538789058397526e+01,1.555647421301439293e+00,5.280339160982399562e+02,3.394303290500697017e+02,7.900000000000000000e+01,4.850000000000000000e+02,6.655000000000000000e+03,1.747931227067842652e+00,1.411428121299424243e-01,3.833208506444032992e-02,9.859275775614109727e-02,5.921578723406626527e-03,-1.409255637288509520e-02,-1.292818952052481821e-03
1.895447649027493631e+00,8.825378544439894668e+00,3.237194345048693123e+01,3.668051550137946926e+00,1.000000000000000000e+01,1.270000000000000000e+02,1.130000000000000000e+02,2.909221566474629039e-01,5.173370125202876590e-02,2.553855945178504748e-03,3.604024217158335961e-03,1.057017495244938043e-05,7.338628316445586133e-04,2.797164918006272796e-06
