Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
6.169037058835056797e+01,1.618996270090516942e+00,4.856347509612203339e+02,2.999603889971091917e+02,8.800000000000000000e+01,6.460000000000000000e+02,9.252000000000000000e+03,1.225685125244565743e+00,5.420232752963728695e-02,3.471252673252164106e-02,1.735125298925533355e-01,-4.978349645880234681e-03,-4.012817744052343122e-02,1.251198748896933076e-02
1.674158425190460875e+00,3.261874201279628682e+00,6.257887589061615685e+00,2.041244208126805759e+01,9.000000000000000000e+00,1.020000000000000000e+02,1.190000000000000000e+02,3.132983479105927449e-01,3.671769916142059859e-02,1.809456886412853793e-02,2.729096376821409098e-02,5.637654784302422893e-04,5.181949288465153604e-03,-2.235233099733417207e-04
3.850289346125175882e+01,1.776442224486274091e+00,2.512852060398164156e+02,4.463936503978632118e+02,3.700000000000000000e+01,2.170000000000000000e+02,6.683000000000000000e+03,3.149043516495162010e+00,7.833174400608207133e-01,9.131591454158375143e+00,1.480234194679083570e+00,5.092320748850347023e+00,7.014985531447870404e-01,1.919647027471709011e+00
8.199694820608202761e+00,2.058225343702244192e+00,2.749011754015801898e+02,1.335622342046863480e+02,1.500000000000000000e+01,9.800000000000000000e+01,5.146000000000000000e+03,4.710005884783967645e+00,1.473388159262368990e+00,2.818192886320024115e+01,2.613005717958763796e+01,-2.621476725630493547e+02,-6.877418108748591052e+00,6.588433617182161015e+02
8.959823198958315194e-02,1.005787061380659209e+00,4.693012009357868806e+02,4.666009525829154541e+02,1.900000000000000000e+01,5.394000000000000000e+03,5.422000000000000000e+03,1.688653521678664116e-01,1.897054582877139683e-07,1.175255042027277179e-07,3.932068032979024489e-06,5.857267699257384092e-13,-1.596564079186821377e-09,-2.608027671139792859e-12
1.059987601281982883e+00,2.183743789562742510e+00,1.152311041641243250e+01,2.516352080828639970e+01,1.100000000000000000e+01,2.030000000000000000e+02,1.330000000000000000e+02,1.902752842144219969e-01,5.916343668565369855e-03,7.140058865354999371e-04,2.231250886543930875e-03,2.761087265949764056e-06,1.688323156267730618e-04,5.547478666441261542e-07
8.230894034883142751e+01,1.263402815301132520e+00,4.434265059236411730e+02,3.509779308335246242e+02,1.300000000000000000e+02,9.780000000000000000e+02,8.314000000000000000e+03,7.967747244240490634e-01,8.857403329591749530e-03,7.053186297708588168e-03,3.117598069687450759e-03,4.162696526046502396e-06,-1.929945321075593923e-04,-1.401400135008537417e-05
5.474959515498809282e+01,1.146744480921917386e+00,3.811428591581195633e+02,4.370734701823732848e+02,5.000000000000000000e+01,2.560000000000000000e+02,6.384000000000000000e+03,3.023860387136106276e+00,4.329282864690196797e-02,3.128761484692734185e-01,6.810712387464852302e-01,2.131775511818039814e-01,1.366440569831281759e-01,2.310828392138672971e-01
3.203115281061120978e+00,2.535870440810274573e+01,7.871696154699105819e+01,3.104139717872929083e+00,1.300000000000000000e+01,1.610000000000000000e+02,3.710000000000000000e+02,6.651434498482592383e-01,1.974489843952794421e-01,3.091507486541203442e-01,1.924852952087012237e-01,3.890440601666249332e-02,6.118574426122926763e-02,2.629097922297832929e-02
3.219955796027608841e+01,1.443238498774654044e+00,3.227296613418278639e+02,4.657758719450321223e+02,2.500000000000000000e+01,1.480000000000000000e+02,6.616000000000000000e+03,5.636487245316375017e+00,1.781767137897711795e+00,5.913063739194643453e+00,4.572281779380501376e+01,2.723049337529376999e+02,4.681997631867692178e+01,-7.007583148139493687e+02
